Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality
Law,Illegal,Legal,Legal - Illegal,0.863753213367608,0.0323928868325055,244,East_SaudiArabian,SAU,East,SaudiArabian
Gender,Male,Female,Female - Male,0.211594356421424,0.0688533147980928,198,East_SaudiArabian,SAU,East,SaudiArabian
Fitness,Large,Fit,Fit - Large,-0.106413324580555,0.0860557290528248,132,East_SaudiArabian,SAU,East,SaudiArabian
Social Status,Low,High,High - Low,0.624717005305518,0.0639097612718432,148,East_SaudiArabian,SAU,East,SaudiArabian
Age,Elderly,Young,Young - Elderly,0.116316665390416,0.0783075201901717,160,East_SaudiArabian,SAU,East,SaudiArabian
No. Characters,Less,More,More - Less,0.693797718921343,0.058975737922154,146,East_SaudiArabian,SAU,East,SaudiArabian
Species,Pets,Humans,Humans - Pets,0.850635729192357,0.0410202390012445,166,East_SaudiArabian,SAU,East,SaudiArabian
Intervention,Omission,Commission,Commission - Omission,0.302284995168248,0.0306786026325719,950,East_Taiwanese,TWN,East,Taiwanese
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.552510557077522,0.0441931041809176,357,East_Taiwanese,TWN,East,Taiwanese
Law,Illegal,Legal,Legal - Illegal,0.681233933161955,0.047058971633398,244,East_Taiwanese,TWN,East,Taiwanese
Gender,Male,Female,Female - Male,0.134922111869752,0.06919118403626,198,East_Taiwanese,TWN,East,Taiwanese
Fitness,Large,Fit,Fit - Large,0.267940321503703,0.0827355004585417,132,East_Taiwanese,TWN,East,Taiwanese
Social Status,Low,High,High - Low,0.611912347587198,0.0639268094911241,148,East_Taiwanese,TWN,East,Taiwanese
Age,Elderly,Young,Young - Elderly,-0.0120141583120054,0.0780935988110351,160,East_Taiwanese,TWN,East,Taiwanese
No. Characters,Less,More,More - Less,0.787437159452447,0.0504684763693893,146,East_Taiwanese,TWN,East,Taiwanese
Species,Pets,Humans,Humans - Pets,0.789665917200715,0.0479210820931538,166,East_Taiwanese,TWN,East,Taiwanese
Intervention,Omission,Commission,Commission - Omission,0.249385301772273,0.0311497666427626,950,Neutral,,Neutral,Neutral
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.61244671673097,0.0418283781724671,357,Neutral,,Neutral,Neutral
Law,Illegal,Legal,Legal - Illegal,0.70179948586118,0.0457931696540295,244,Neutral,,Neutral,Neutral
Gender,Male,Female,Female - Male,0.142263303498563,0.0692272782158386,198,Neutral,,Neutral,Neutral
Fitness,Large,Fit,Fit - Large,0.111877743062194,0.084033045737871,132,Neutral,,Neutral,Neutral
Social Status,Low,High,High - Low,0.688204437772067,0.0590832336625285,148,Neutral,,Neutral,Neutral
Age,Elderly,Young,Young - Elderly,0.0197895290498027,0.0782562101881474,160,Neutral,,Neutral,Neutral
No. Characters,Less,More,More - Less,0.656301359755483,0.0616585449311689,146,Neutral,,Neutral,Neutral
