Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality
Gender,Male,Female,Female - Male,-0.383271624940407,0.0657661712462611,198,East_Taiwanese,TWN,East,Taiwanese
Fitness,Large,Fit,Fit - Large,0.262546280086578,0.0837929540578273,132,East_Taiwanese,TWN,East,Taiwanese
Social Status,Low,High,High - Low,0.422512835956957,0.0733938686333295,148,East_Taiwanese,TWN,East,Taiwanese
Age,Elderly,Young,Young - Elderly,-0.48652972860947,0.0696100201111922,160,East_Taiwanese,TWN,East,Taiwanese
No. Characters,Less,More,More - Less,0.652435260993577,0.0608035135162514,146,East_Taiwanese,TWN,East,Taiwanese
Species,Pets,Humans,Humans - Pets,-0.712144831634354,0.0535981881794832,166,East_Taiwanese,TWN,East,Taiwanese
Intervention,Omission,Commission,Commission - Omission,-0.0240198922668831,0.0325203366872527,950,Neutral,,Neutral,Neutral
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.330336751056903,0.050001983727666,357,Neutral,,Neutral,Neutral
Law,Illegal,Legal,Legal - Illegal,0.287917737789205,0.0615604042628169,244,Neutral,,Neutral,Neutral
Gender,Male,Female,Female - Male,-0.299842266960006,0.0679898797503153,198,Neutral,,Neutral,Neutral
Fitness,Large,Fit,Fit - Large,0.14519608980064,0.0867443766022083,132,Neutral,,Neutral,Neutral
Social Status,Low,High,High - Low,0.472094594156137,0.0725879721002153,148,Neutral,,Neutral,Neutral
Age,Elderly,Young,Young - Elderly,-0.44518507522052,0.0714110033998376,160,Neutral,,Neutral,Neutral
No. Characters,Less,More,More - Less,0.657406502270952,0.0604034792166735,146,Neutral,,Neutral,Neutral
Species,Pets,Humans,Humans - Pets,-0.656457860017811,0.0588479166517864,166,Neutral,,Neutral,Neutral
Intervention,Omission,Commission,Commission - Omission,-0.0956377918971229,0.0324014249000523,950,West_American,USA,West,American
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.393419521253163,0.0485578040506445,357,West_American,USA,West,American
Law,Illegal,Legal,Legal - Illegal,0.0899742930591272,0.0640217107605917,244,West_American,USA,West,American
Gender,Male,Female,Female - Male,-0.496424700244668,0.0622287944036525,198,West_American,USA,West,American
Fitness,Large,Fit,Fit - Large,0.0901128199751555,0.087308166952527,132,West_American,USA,West,American
Social Status,Low,High,High - Low,0.511687759904922,0.0703659201583368,148,West_American,USA,West,American
Age,Elderly,Young,Young - Elderly,-0.613571724130182,0.0630121836202413,160,West_American,USA,West,American
No. Characters,Less,More,More - Less,0.669158653258832,0.0602910736730224,146,West_American,USA,West,American
Species,Pets,Humans,Humans - Pets,-0.762655656941156,0.0503189965830489,166,West_American,USA,West,American
Intervention,Omission,Commission,Commission - Omission,-0.0720976029040468,0.0325140866223,950,West_Australian,AUS,West,Australian
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.31201949464638,0.050272744237249,357,West_Australian,AUS,West,Australian
Law,Illegal,Legal,Legal - Illegal,0.010282776349615,0.0642790360961374,244,West_Australian,AUS,West,Australian
Gender,Male,Female,Female - Male,-0.411666070080918,0.0652469425533428,198,West_Australian,AUS,West,Australian
Fitness,Large,Fit,Fit - Large,0.135303540277996,0.0868341638711047,132,West_Australian,AUS,West,Australian
Social Status,Low,High,High - Low,0.471742068669277,0.073059449222993,148,West_Australian,AUS,West,Australian
Age,Elderly,Young,Young - Elderly,-0.582337567402185,0.064870494942664,160,West_Australian,AUS,West,Australian
No. Characters,Less,More,More - Less,0.624883406222282,0.0630000099429476,146,West_Australian,AUS,West,Australian
Species,Pets,Humans,Humans - Pets,-0.805516463643733,0.0461967133050707,166,West_Australian,AUS,West,Australian
Intervention,Omission,Commission,Commission - Omission,-0.0534066029957216,0.0325449319283604,950,West_Brazilian,BRA,West,Brazilian
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.385827028826935,0.048609661765726,357,West_Brazilian,BRA,West,Brazilian
Law,Illegal,Legal,Legal - Illegal,0.0822622107969167,0.0640645635301538,244,West_Brazilian,BRA,West,Brazilian
Gender,Male,Female,Female - Male,-0.396630230075787,0.0655041293516723,198,West_Brazilian,BRA,West,Brazilian
Fitness,Large,Fit,Fit - Large,0.186710997572234,0.0860851217911588,132,West_Brazilian,BRA,West,Brazilian
Social Status,Low,High,High - Low,0.383477506300583,0.0765148035148286,148,West_Brazilian,BRA,West,Brazilian
Age,Elderly,Young,Young - Elderly,-0.570084073104436,0.0651307045573,160,West_Brazilian,BRA,West,Brazilian
No. Characters,Less,More,More - Less,0.657382293784091,0.0617796598057429,146,West_Brazilian,BRA,West,Brazilian
Species,Pets,Humans,Humans - Pets,-0.765976645020039,0.0501533319457175,166,West_Brazilian,BRA,West,Brazilian
Intervention,Omission,Commission,Commission - Omission,-0.120990713911581,0.0323741679937053,950,West_British,GBR,West,British
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.203489312278393,0.0519035851087716,357,West_British,GBR,West,British
Law,Illegal,Legal,Legal - Illegal,0.0359897172236512,0.064240789938787,244,West_British,GBR,West,British
Gender,Male,Female,Female - Male,-0.568408515480086,0.0590176794204081,198,West_British,GBR,West,British
Fitness,Large,Fit,Fit - Large,0.123394687336586,0.0870321671989788,132,West_British,GBR,West,British
Social Status,Low,High,High - Low,0.499961641389309,0.0716640140129879,148,West_British,GBR,West,British
Age,Elderly,Young,Young - Elderly,-0.492237794387623,0.06925429338401,160,West_British,GBR,West,British
No. Characters,Less,More,More - Less,0.60983697174776,0.0639488130775722,146,West_British,GBR,West,British
Species,Pets,Humans,Humans - Pets,-0.900962012796498,0.0336149118237301,166,West_British,GBR,West,British
Intervention,Omission,Commission,Commission - Omission,-0.0923624767836826,0.0323784466651371,950,West_Canadian,CAN,West,Canadian
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.46851915728193,0.046615464961966,357,West_Canadian,CAN,West,Canadian
