Effect,UserCountry3,PersonaGroup,PersonaCluster,PersonaNationality,HumanEstimate,HumanSE,NeutralEstimate,NeutralSE,NeutralN,BaselineDifferenceFromHuman,BaselineAbsDifferenceFromHuman,BaselineSquaredDifferenceFromHuman
Intervention,DEU,West_German,West,German,0.083826994,0.000891727,0.143875121,0.070354588,200,0.060048127,0.060048127,0.003605778
Intervention,ESP,West_Spanish,West,Spanish,0.044816578,0.001287872,0.143875121,0.070354588,200,0.099058543,0.099058543,0.009812595
Intervention,GBR,West_British,West,British,0.075417185,0.000965342,0.143875121,0.070354588,200,0.068457936,0.068457936,0.004686489
Intervention,HKG,East_HongKonger,East,HongKonger,0.07627871,0.003466843,0.143875121,0.070354588,200,0.067596411,0.067596411,0.004569275
Intervention,IDN,East_Indonesian,East,Indonesian,0.039658528,0.003957367,0.143875121,0.070354588,200,0.104216593,0.104216593,0.010861098
Intervention,IND,East_Indian,East,Indian,0.059772808,0.003005047,0.143875121,0.070354588,200,0.084102313,0.084102313,0.007073199
Intervention,ITA,West_Italian,West,Italian,0.046622997,0.001314551,0.143875121,0.070354588,200,0.097252124,0.097252124,0.009457976
Intervention,JPN,East_Japanese,East,Japanese,0.073653685,0.001489797,0.143875121,0.070354588,200,0.070221436,0.070221436,0.00493105
Intervention,KOR,East_Korean,East,Korean,0.061313549,0.003288244,0.143875121,0.070354588,200,0.082561572,0.082561572,0.006816413
Intervention,MYS,East_Malaysian,East,Malaysian,0.050209877,0.004297733,0.143875121,0.070354588,200,0.093665244,0.093665244,0.008773178
Intervention,POL,West_Polish,West,Polish,0.055484178,0.00126426,0.143875121,0.070354588,200,0.088390943,0.088390943,0.007812959
Intervention,RUS,West_Russian,West,Russian,0.067780932,0.00110039,0.143875121,0.070354588,200,0.076094189,0.076094189,0.005790326
Intervention,SAU,East_SaudiArabian,East,SaudiArabian,0.026805334,0.004809706,0.143875121,0.070354588,200,0.117069787,0.117069787,0.013705335
Intervention,TWN,East_Taiwanese,East,Taiwanese,0.075286482,0.003076446,0.143875121,0.070354588,200,0.068588639,0.068588639,0.004704401
Intervention,USA,West_American,West,American,0.067244816,0.000571089,0.143875121,0.070354588,200,0.076630305,0.076630305,0.005872204
Law,ARE,East_Emirati,East,Emirati,0.357703654,0.010400346,0.42408377,0.116915422,62,0.066380116,0.066380116,0.00440632
Law,AUS,West_Australian,West,Australian,0.330606998,0.002466845,0.42408377,0.116915422,62,0.093476772,0.093476772,0.008737907
Law,BRA,West_Brazilian,West,Brazilian,0.366954133,0.001744232,0.42408377,0.116915422,62,0.057129637,0.057129637,0.003263795
Law,CAN,West_Canadian,West,Canadian,0.335172447,0.002674782,0.42408377,0.116915422,62,0.088911323,0.088911323,0.007905223
Law,CHN,East_Chinese,East,Chinese,0.396378484,0.008605024,0.42408377,0.116915422,62,0.027705286,0.027705286,0.000767583
Law,DEU,West_German,West,German,0.358406251,0.001651349,0.42408377,0.116915422,62,0.065677519,0.065677519,0.004313536
Law,ESP,West_Spanish,West,Spanish,0.38865175,0.002563726,0.42408377,0.116915422,62,0.03543202,0.03543202,0.001255428
Law,GBR,West_British,West,British,0.332686605,0.00186009,0.42408377,0.116915422,62,0.091397165,0.091397165,0.008353442
Law,HKG,East_HongKonger,East,HongKonger,0.424483106,0.006595253,0.42408377,0.116915422,62,-0.000399336,0.000399336,1.59E-07
Law,IDN,East_Indonesian,East,Indonesian,0.398171017,0.007710314,0.42408377,0.116915422,62,0.025912753,0.025912753,0.000671471
Law,IND,East_Indian,East,Indian,0.315398222,0.00615705,0.42408377,0.116915422,62,0.108685548,0.108685548,0.011812548
Law,ITA,West_Italian,West,Italian,0.375755211,0.00286799,0.42408377,0.116915422,62,0.048328559,0.048328559,0.00233565
Law,JPN,East_Japanese,East,Japanese,0.412275106,0.002881519,0.42408377,0.116915422,62,0.011808664,0.011808664,0.000139445
Law,KOR,East_Korean,East,Korean,0.356525786,0.006407033,0.42408377,0.116915422,62,0.067557984,0.067557984,0.004564081
Law,MYS,East_Malaysian,East,Malaysian,0.391481779,0.008453588,0.42408377,0.116915422,62,0.032601991,0.032601991,0.00106289
Law,POL,West_Polish,West,Polish,0.373425712,0.002450265,0.42408377,0.116915422,62,0.050658058,0.050658058,0.002566239
Law,RUS,West_Russian,West,Russian,0.385252679,0.002235225,0.42408377,0.116915422,62,0.038831091,0.038831091,0.001507854
Law,SAU,East_SaudiArabian,East,SaudiArabian,0.37272727,0.010072298,0.42408377,0.116915422,62,0.0513565,0.0513565,0.00263749
Law,TWN,East_Taiwanese,East,Taiwanese,0.347282936,0.006644861,0.42408377,0.116915422,62,0.076800834,0.076800834,0.005898368
Law,USA,West_American,West,American,0.318724086,0.001426453,0.42408377,0.116915422,62,0.105359684,0.105359684,0.011100663
No. Characters,ARE,East_Emirati,East,Emirati,0.522103732,0.010781011,0.823732515,0.092632343,32,0.301628783,0.301628783,0.090979923
No. Characters,AUS,West_Australian,West,Australian,0.526965749,0.002593671,0.823732515,0.092632343,32,0.296766766,0.296766766,0.088070514
No. Characters,BRA,West_Brazilian,West,Brazilian,0.474318205,0.001776149,0.823732515,0.092632343,32,0.34941431,0.34941431,0.12209036
No. Characters,CAN,West_Canadian,West,Canadian,0.533800222,0.002160921,0.823732515,0.092632343,32,0.289932293,0.289932293,0.084060735
No. Characters,CHN,East_Chinese,East,Chinese,0.422984741,0.008671581,0.823732515,0.092632343,32,0.400747774,0.400747774,0.160598779
No. Characters,DEU,West_German,West,German,0.502871504,0.001766569,0.823732515,0.092632343,32,0.320861011,0.320861011,0.102951789
No. Characters,ESP,West_Spanish,West,Spanish,0.498560993,0.002710437,0.823732515,0.092632343,32,0.325171522,0.325171522,0.105736519
No. Characters,GBR,West_British,West,British,0.539386654,0.001839681,0.823732515,0.092632343,32,0.284345861,0.284345861,0.080852569
No. Characters,HKG,East_HongKonger,East,HongKonger,0.460171958,0.007163411,0.823732515,0.092632343,32,0.363560557,0.363560557,0.132176279
No. Characters,IDN,East_Indonesian,East,Indonesian,0.456525405,0.008127544,0.823732515,0.092632343,32,0.36720711,0.36720711,0.134841062
No. Characters,IND,East_Indian,East,Indian,0.477665245,0.00623951,0.823732515,0.092632343,32,0.34606727,0.34606727,0.119762556
No. Characters,ITA,West_Italian,West,Italian,0.510379392,0.002828409,0.823732515,0.092632343,32,0.313353123,0.313353123,0.09819018
No. Characters,JPN,East_Japanese,East,Japanese,0.37365585,0.002957173,0.823732515,0.092632343,32,0.450076665,0.450076665,0.202569005
No. Characters,KOR,East_Korean,East,Korean,0.43416246,0.00641658,0.823732515,0.092632343,32,0.389570055,0.389570055,0.151764828
No. Characters,MYS,East_Malaysian,East,Malaysian,0.440654413,0.009057108,0.823732515,0.092632343,32,0.383078102,0.383078102,0.146748833
No. Characters,POL,West_Polish,West,Polish,0.47538328,0.002575286,0.823732515,0.092632343,32,0.348349235,0.348349235,0.12134719
No. Characters,RUS,West_Russian,West,Russian,0.455030834,0.002361406,0.823732515,0.092632343,32,0.368701681,0.368701681,0.13594093
No. Characters,SAU,East_SaudiArabian,East,SaudiArabian,0.459583997,0.010868616,0.823732515,0.092632343,32,0.364148518,0.364148518,0.132604143
No. Characters,TWN,East_Taiwanese,East,Taiwanese,0.392762254,0.006142323,0.823732515,0.092632343,32,0.430970261,0.430970261,0.185735366
No. Characters,USA,West_American,West,American,0.53104843,0.001006283,0.823732515,0.092632343,32,0.292684085,0.292684085,0.085663974
Relation to AV,ARE,East_Emirati,East,Emirati,0.122502853,0.01024763,0.368375003,0.115308637,67,0.24587215,0.24587215,0.060453114
Relation to AV,AUS,West_Australian,West,Australian,0.123159909,0.00248041,0.368375003,0.115308637,67,0.245215094,0.245215094,0.060130442
Relation to AV,BRA,West_Brazilian,West,Brazilian,-0.019372603,0.002115549,0.368375003,0.115308637,67,0.387747606,0.387747606,0.150348206
