Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,NeutralEstimate,NeutralSE,NeutralN,DifferenceFromNeutral,AbsDifferenceFromNeutral
Social Status,Low,High,High - Low,0.68276309,0.127514801,32,West_Australian,AUS,West,Australian,0.413631934,0.161542027,32,0.269131155,0.269131155
Social Status,Low,High,High - Low,0.68276309,0.127514801,32,West_Canadian,CAN,West,Canadian,0.413631934,0.161542027,32,0.269131155,0.269131155
Social Status,Low,High,High - Low,0.68276309,0.127514801,32,West_Polish,POL,West,Polish,0.413631934,0.161542027,32,0.269131155,0.269131155
Social Status,Low,High,High - Low,0.68276309,0.127514801,32,West_Spanish,ESP,West,Spanish,0.413631934,0.161542027,32,0.269131155,0.269131155
No. Characters,Less,More,More - Less,0.574509141,0.139693199,32,East_Taiwanese,TWN,East,Taiwanese,0.823732515,0.092632343,32,-0.249223374,0.249223374
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.604479734,0.098705855,67,East_Malaysian,MYS,East,Malaysian,0.368375003,0.115308637,67,0.236104731,0.236104731
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.603123565,0.098054445,67,East_Indonesian,IDN,East,Indonesian,0.368375003,0.115308637,67,0.234748562,0.234748562
Species,Pets,Humans,Humans - Pets,-1,1.46E-16,40,East_Chinese,CHN,East,Chinese,-0.772904507,0.102031276,40,-0.227095493,0.227095493
Species,Pets,Humans,Humans - Pets,-1,1.46E-16,40,East_Emirati,ARE,East,Emirati,-0.772904507,0.102031276,40,-0.227095493,0.227095493
Species,Pets,Humans,Humans - Pets,-1,1.46E-16,40,East_Indian,IND,East,Indian,-0.772904507,0.102031276,40,-0.227095493,0.227095493
Species,Pets,Humans,Humans - Pets,-1,1.46E-16,40,East_Indonesian,IDN,East,Indonesian,-0.772904507,0.102031276,40,-0.227095493,0.227095493
Species,Pets,Humans,Humans - Pets,-1,1.46E-16,40,East_Japanese,JPN,East,Japanese,-0.772904507,0.102031276,40,-0.227095493,0.227095493
Species,Pets,Humans,Humans - Pets,-1,1.46E-16,40,East_Korean,KOR,East,Korean,-0.772904507,0.102031276,40,-0.227095493,0.227095493
Species,Pets,Humans,Humans - Pets,-1,1.46E-16,40,East_Malaysian,MYS,East,Malaysian,-0.772904507,0.102031276,40,-0.227095493,0.227095493
Species,Pets,Humans,Humans - Pets,-1,1.46E-16,40,East_SaudiArabian,SAU,East,SaudiArabian,-0.772904507,0.102031276,40,-0.227095493,0.227095493
Species,Pets,Humans,Humans - Pets,-1,1.46E-16,40,West_American,USA,West,American,-0.772904507,0.102031276,40,-0.227095493,0.227095493
Species,Pets,Humans,Humans - Pets,-1,1.46E-16,40,West_Australian,AUS,West,Australian,-0.772904507,0.102031276,40,-0.227095493,0.227095493
Species,Pets,Humans,Humans - Pets,-1,1.46E-16,40,West_Brazilian,BRA,West,Brazilian,-0.772904507,0.102031276,40,-0.227095493,0.227095493
Species,Pets,Humans,Humans - Pets,-1,1.46E-16,40,West_British,GBR,West,British,-0.772904507,0.102031276,40,-0.227095493,0.227095493
Species,Pets,Humans,Humans - Pets,-1,1.46E-16,40,West_Canadian,CAN,West,Canadian,-0.772904507,0.102031276,40,-0.227095493,0.227095493
Species,Pets,Humans,Humans - Pets,-1,1.46E-16,40,West_German,DEU,West,German,-0.772904507,0.102031276,40,-0.227095493,0.227095493
Species,Pets,Humans,Humans - Pets,-1,1.46E-16,40,West_Italian,ITA,West,Italian,-0.772904507,0.102031276,40,-0.227095493,0.227095493
Species,Pets,Humans,Humans - Pets,-1,1.46E-16,40,West_Polish,POL,West,Polish,-0.772904507,0.102031276,40,-0.227095493,0.227095493
Species,Pets,Humans,Humans - Pets,-1,1.46E-16,40,West_Spanish,ESP,West,Spanish,-0.772904507,0.102031276,40,-0.227095493,0.227095493
Fitness,Large,Fit,Fit - Large,0.868346187,0.103651342,24,West_Spanish,ESP,West,Spanish,0.654465936,0.161199247,24,0.213880252,0.213880252
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.580112431,0.101032251,67,West_Russian,RUS,West,Russian,0.368375003,0.115308637,67,0.211737428,0.211737428
Fitness,Large,Fit,Fit - Large,0.443819836,0.188982409,24,East_Chinese,CHN,East,Chinese,0.654465936,0.161199247,24,-0.2106461,0.2106461
Age,Elderly,Young,Young - Elderly,-0.692328058,0.118752516,40,East_Chinese,CHN,East,Chinese,-0.482006302,0.142808161,40,-0.210321757,0.210321757
Age,Elderly,Young,Young - Elderly,-0.683540436,0.119216857,40,West_Brazilian,BRA,West,Brazilian,-0.482006302,0.142808161,40,-0.201534134,0.201534134
Fitness,Large,Fit,Fit - Large,0.459233856,0.188232035,24,East_Indian,IND,East,Indian,0.654465936,0.161199247,24,-0.19523208,0.19523208
No. Characters,Less,More,More - Less,0.629637677,0.145288343,32,West_British,GBR,West,British,0.823732515,0.092632343,32,-0.194094838,0.194094838
No. Characters,Less,More,More - Less,0.629637677,0.145288343,32,West_Canadian,CAN,West,Canadian,0.823732515,0.092632343,32,-0.194094838,0.194094838
Gender,Male,Female,Female - Male,-0.710757799,0.129201945,32,East_Emirati,ARE,East,Emirati,-0.518580808,0.156742344,32,-0.192176991,0.192176991
Gender,Male,Female,Female - Male,-0.710757799,0.129201945,32,East_Indian,IND,East,Indian,-0.518580808,0.156742344,32,-0.192176991,0.192176991
Gender,Male,Female,Female - Male,-0.710757799,0.129201945,32,East_Japanese,JPN,East,Japanese,-0.518580808,0.156742344,32,-0.192176991,0.192176991
Gender,Male,Female,Female - Male,-0.710757799,0.129201945,32,West_American,USA,West,American,-0.518580808,0.156742344,32,-0.192176991,0.192176991
Gender,Male,Female,Female - Male,-0.710757799,0.129201945,32,West_Brazilian,BRA,West,Brazilian,-0.518580808,0.156742344,32,-0.192176991,0.192176991
Gender,Male,Female,Female - Male,-0.710757799,0.129201945,32,West_Canadian,CAN,West,Canadian,-0.518580808,0.156742344,32,-0.192176991,0.192176991
Gender,Male,Female,Female - Male,-0.710757799,0.129201945,32,West_German,DEU,West,German,-0.518580808,0.156742344,32,-0.192176991,0.192176991
Gender,Male,Female,Female - Male,-0.710757799,0.129201945,32,West_Spanish,ESP,West,Spanish,-0.518580808,0.156742344,32,-0.192176991,0.192176991
Age,Elderly,Young,Young - Elderly,-0.6722745,0.121453432,40,East_Emirati,ARE,East,Emirati,-0.482006302,0.142808161,40,-0.190268199,0.190268199
Age,Elderly,Young,Young - Elderly,-0.6722745,0.121453432,40,East_Malaysian,MYS,East,Malaysian,-0.482006302,0.142808161,40,-0.190268199,0.190268199
Age,Elderly,Young,Young - Elderly,-0.6722745,0.121453432,40,East_Taiwanese,TWN,East,Taiwanese,-0.482006302,0.142808161,40,-0.190268199,0.190268199
Age,Elderly,Young,Young - Elderly,-0.6722745,0.121453432,40,West_Canadian,CAN,West,Canadian,-0.482006302,0.142808161,40,-0.190268199,0.190268199
Gender,Male,Female,Female - Male,-0.33047478,0.173217509,32,East_Indonesian,IDN,East,Indonesian,-0.518580808,0.156742344,32,0.188106029,0.188106029
Age,Elderly,Young,Young - Elderly,-0.663486878,0.121335263,40,West_Australian,AUS,West,Australian,-0.482006302,0.142808161,40,-0.181480576,0.181480576
Intervention,Omission,Commission,Commission - Omission,-0.032721613,0.071284747,200,West_Australian,AUS,West,Australian,0.143875121,0.070354588,200,-0.176596733,0.176596733
Fitness,Large,Fit,Fit - Large,0.827232968,0.119788757,24,West_American,USA,West,American,0.654465936,0.161199247,24,0.172767032,0.172767032
Fitness,Large,Fit,Fit - Large,0.484933055,0.182346518,24,East_SaudiArabian,SAU,East,SaudiArabian,0.654465936,0.161199247,24,-0.169532881,0.169532881
Social Status,Low,High,High - Low,0.579251107,0.143577427,32,East_HongKonger,HKG,East,HongKonger,0.413631934,0.161542027,32,0.165619173,0.165619173
Social Status,Low,High,High - Low,0.579251107,0.143577427,32,East_Japanese,JPN,East,Japanese,0.413631934,0.161542027,32,0.165619173,0.165619173
Social Status,Low,High,High - Low,0.579251107,0.143577427,32,East_Taiwanese,TWN,East,Taiwanese,0.413631934,0.161542027,32,0.165619173,0.165619173
