UserCountry3,[Omission -> Commission]: Estimates,[Passengers -> Pedestrians]: Estimates,Law [Illegal -> Legal]: Estimates,Gender [Male -> Female]: Estimates,Fitness [Large -> Fit]: Estimates,Social Status [Low -> High]: Estimates,Age [Elderly -> Young]: Estimates,No. Characters [Less -> More]: Estimates,Species [Pets -> Humans]: Estimates,[Omission -> Commission]: se,[Passengers -> Pedestrians]: se,Law [Illegal -> Legal]: se,Gender [Male -> Female]: se,Fitness [Large -> Fit]: se,Social Status [Low -> High]: se,Age [Elderly -> Young]: se,No. Characters [Less -> More]: se,Species [Pets -> Humans]: se
PAN,0.034511859,0.111094392,0.391035859,0.202889919,0.134399756,0.372064237,0.470355663,0.442290096,0.495672198,0.013612952,0.022500193,0.031226411,0.030840743,0.0338569,0.041925986,0.030379419,0.025842377,0.038470719
PER,0.02791118,0.121126281,0.346947972,0.146602935,0.182159609,0.410714023,0.509385865,0.488219803,0.374001048,0.005216135,0.009280694,0.010893466,0.013097858,0.013394409,0.018570366,0.011915693,0.011533915,0.014346604
PHL,0.039269647,0.10189915,0.388641712,0.155140505,0.11967598,0.39315394,0.401853308,0.454950085,0.506405686,0.00336072,0.006357488,0.006893924,0.008153528,0.0086585,0.011622319,0.008278392,0.007343119,0.008389762
POL,0.055484178,-0.006368135,0.373425712,0.087144091,0.152242478,0.354154282,0.467292833,0.47538328,0.626939296,0.00126426,0.002851511,0.002450265,0.002950284,0.003072617,0.00441148,0.002840937,0.002575286,0.002776289
PRI,0.035112945,0.130501229,0.364826527,0.112565176,0.2033747,0.377170403,0.522895893,0.474553287,0.499901211,0.010795101,0.019874248,0.021830345,0.024819076,0.025917471,0.034891679,0.022458108,0.02253852,0.02553521
PRT,0.053099032,0.113536062,0.408629613,0.1235912,0.139749579,0.319109149,0.496614156,0.501837611,0.539719533,0.002367676,0.004932629,0.004479098,0.005306326,0.005733536,0.00796155,0.005221381,0.004909059,0.006066376
PRY,0.04342053,0.054553296,0.330184767,0.133326556,0.21294056,0.363086705,0.487435203,0.478996774,0.437782242,0.012164868,0.025114849,0.025060119,0.030244326,0.03091895,0.042741447,0.029137746,0.026072854,0.030250388
PSE,0.057749752,0.208764599,0.275641487,0.083655622,0.05319418,0.297209764,0.366315136,0.452330242,0.634352389,0.014693446,0.029274985,0.03167944,0.03361583,0.03529098,0.051921663,0.034664893,0.032128208,0.030664779
PYF,-0.002088838,0.063752154,0.376766982,0.167161134,0.17543736,0.443781169,0.536583698,0.488770345,0.631792669,0.026621458,0.050365009,0.046964618,0.06236342,0.070516597,0.068367739,0.057178216,0.060843671,0.068732482
QAT,0.043638774,0.10065278,0.325097797,0.104595978,0.211942289,0.310809282,0.428632842,0.487263314,0.572215105,0.012210118,0.025690768,0.024498936,0.028205355,0.02934226,0.039869551,0.03673928,0.024601227,0.036305243
REU,0.018114209,0.082207632,0.44266293,0.309531431,0.180173541,0.383776664,0.597878314,0.557668973,0.626815171,0.012215827,0.021492295,0.023241851,0.029340836,0.032064673,0.04216938,0.026484171,0.024489979,0.028200245
ROU,0.05815102,0.063046586,0.386434218,0.080636285,0.192483379,0.351250598,0.498843255,0.480407776,0.602729935,0.002515706,0.004747286,0.00489514,0.005902276,0.006082682,0.008409149,0.005394098,0.0052587,0.005598244
RUS,0.067780932,0.044768685,0.385252679,0.037161347,0.156272962,0.340724897,0.449177027,0.455030834,0.605935426,0.00110039,0.002352183,0.002235225,0.002550194,0.002515582,0.003487935,0.002413175,0.002361406,0.002391103
SAU,0.026805334,0.124194526,0.37272727,0.049157885,0.08229366,0.351028168,0.373165006,0.459583997,0.609155035,0.004809706,0.009102387,0.010072298,0.011868923,0.012740378,0.016968949,0.011840697,0.010868616,0.011373477
SGP,0.071943687,0.15490601,0.382144227,0.099068063,0.172863751,0.349976282,0.418219863,0.514391947,0.621888729,0.002476592,0.004410717,0.004611615,0.005231191,0.005462509,0.007669665,0.005049191,0.00508135,0.004897005
SLV,0.024162727,0.064329852,0.394308774,0.139858186,0.163592492,0.435995494,0.449062417,0.501014386,0.458056209,0.013820984,0.026018193,0.028422708,0.033648351,0.036914021,0.044788042,0.031940185,0.030755262,0.035728813
SRB,0.041418263,0.040236572,0.381857697,0.079899215,0.208447248,0.346320845,0.519511174,0.511716553,0.55448876,0.005291853,0.009911238,0.010611638,0.01216973,0.012864715,0.018177337,0.012040511,0.010459957,0.016658834
SVK,0.043549683,0.035515671,0.370937362,0.142553268,0.176132734,0.394730903,0.526173335,0.529658354,0.658453082,0.002566918,0.004878155,0.00491522,0.005986578,0.006248715,0.008623127,0.00560403,0.005267816,0.005954449
